"","policy_id","exposure","driver_age","vehicle_age","gender","car_type","region","no_claim_discount","claim_count","avg_claim_sev","total_claim_cost"
"1",1,0.618731407215819,36,0.8,"M","Commercial","Metro","60%",1,9214.22426163597,9214.22426163597
"2",2,0.682336564408615,39,15.7,"F","SUV","Metro","40%",0,0,0
"3",3,0.644801949267276,59,2.6,"M","Sedan","Suburban","0%",0,0,0
"4",4,0.613480345811695,43,11.8,"M","SUV","Metro","20%",0,0,0
"5",5,0.768670529825613,43,6.1,"M","Commercial","Metro","60%",0,0,0
"6",6,0.570425672922283,61,0.6,"M","Luxury","Suburban","40%",0,0,0
"7",7,0.524094426655211,47,3.8,"M","SUV","Metro","60%",0,0,0
"8",8,0.838837215793319,28,2.3,"F","Luxury","Suburban","60%",0,0,0
"9",9,0.966145833954215,34,17.1,"M","Sedan","Suburban","60%",0,0,0
"10",10,0.743972589145415,37,0.7,"F","SUV","Metro","40%",0,0,0
"11",11,0.822412192821503,55,4,"F","SUV","Metro","40%",0,0,0
"12",12,0.713000009651296,46,2,"F","Commercial","Suburban","0%",0,0,0
"13",13,0.649714519153349,46,3.2,"F","Sedan","Metro","40%",0,0,0
"14",14,0.575795410317369,43,0.1,"F","Sedan","Metro","40%",0,0,0
"15",15,0.765798501903191,36,11.8,"M","Luxury","Metro","60%",0,0,0
"16",16,0.502006202470511,62,1.2,"F","Commercial","Suburban","20%",0,0,0
"17",17,0.841408226406202,47,4.5,"F","SUV","Rural","60%",0,0,0
"18",18,0.978326831595041,20,1.2,"M","Luxury","Suburban","40%",0,0,0
"19",19,0.732792671769857,50,6.2,"M","Luxury","Metro","0%",0,0,0
"20",20,0.922853167401627,37,4.4,"F","Luxury","Metro","0%",0,0,0
"21",21,0.765691232518293,30,1.2,"F","SUV","Metro","40%",0,0,0
"22",22,0.630745087168179,40,1.9,"M","Luxury","Metro","20%",0,0,0
"23",23,0.682578592211939,31,9.8,"F","SUV","Metro","40%",0,0,0
"24",24,0.56145940721035,34,1.9,"M","SUV","Suburban","40%",0,0,0
"25",25,0.810624837875366,35,4.8,"F","Commercial","Metro","40%",0,0,0
"26",26,0.700536260963418,23,0.6,"M","Sedan","Rural","40%",0,0,0
"27",27,0.842710950295441,51,1.2,"M","SUV","Metro","40%",0,0,0
"28",28,0.869766754913144,44,1.8,"F","SUV","Suburban","60%",0,0,0
"29",29,0.970568551099859,29,12.9,"M","SUV","Metro","40%",0,0,0
"30",30,0.916682205628604,56,10,"M","Sedan","Metro","0%",0,0,0
"31",31,0.772078441805206,47,8.9,"M","Sedan","Metro","60%",0,0,0
"32",32,0.907513676793315,39,3.5,"M","SUV","Metro","0%",0,0,0
"33",33,0.511646840837784,52,1.5,"F","SUV","Rural","60%",0,0,0
"34",34,0.574281092500314,52,5.3,"F","Commercial","Metro","40%",0,0,0
"35",35,0.911050552036613,51,1.7,"F","Sedan","Metro","40%",0,0,0
"36",36,0.638426212361082,50,0.1,"M","SUV","Metro","0%",0,0,0
"37",37,0.719687146134675,48,4,"F","SUV","Metro","40%",0,0,0
"38",38,0.582304358948022,41,2,"M","Sedan","Suburban","40%",0,0,0
"39",39,0.52821699983906,39,0.1,"M","Commercial","Metro","40%",0,0,0
"40",40,0.806400587898679,38,3.3,"F","Luxury","Suburban","60%",0,0,0
"41",41,0.900598678854294,34,0.4,"F","Commercial","Rural","0%",0,0,0
"42",42,0.649684594245628,40,2.2,"M","SUV","Metro","0%",0,0,0
"43",43,0.611103028873913,28,3.3,"F","Sedan","Metro","60%",0,0,0
"44",44,0.591406714869663,66,2.9,"M","Commercial","Suburban","20%",0,0,0
"45",45,0.751842496916652,55,0.4,"F","Sedan","Metro","0%",0,0,0
"46",46,0.537339749396779,30,1.1,"M","SUV","Metro","60%",0,0,0
"47",47,0.840455550700426,38,1.4,"M","Sedan","Metro","20%",0,0,0
"48",48,0.871895579970442,37,5.1,"F","SUV","Metro","40%",0,0,0
"49",49,0.889467420522124,51,2.1,"F","Sedan","Metro","40%",0,0,0
"50",50,0.581326469429769,41,0.7,"F","Commercial","Metro","0%",0,0,0
"51",51,0.684913267032243,45,2,"M","SUV","Rural","60%",0,0,0
"52",52,0.832909105927683,42,9.3,"F","Luxury","Metro","0%",0,0,0
"53",53,0.531430814880878,42,6,"F","Sedan","Suburban","60%",0,0,0
"54",54,0.643841253826395,57,2.1,"F","Sedan","Metro","40%",0,0,0
"55",55,0.562389994622208,40,0.1,"M","Sedan","Metro","60%",0,0,0
"56",56,0.928511719685048,59,4.8,"F","Luxury","Metro","60%",0,0,0
"57",57,0.675953347468749,25,0.4,"M","SUV","Metro","0%",0,0,0
"58",58,0.712140169693157,48,3.5,"M","Sedan","Metro","60%",0,0,0
"59",59,0.890106678474694,43,5,"F","Sedan","Suburban","60%",0,0,0
"60",60,0.950034579727799,44,0.5,"M","Sedan","Metro","20%",0,0,0
"61",61,0.87534231110476,46,0.1,"F","Sedan","Suburban","40%",0,0,0
